user,item,rating
user1,American,1
user2,American,0
user3,American,1
user4,American,1
user5,American,1
user6,American,0
user7,American,1
user8,American,1
user9,American,1
jiajia,American,1
ljj,American,1
jiajialiu,American,1
user1,Asian,0
user2,Asian,1
user3,Asian,1
user4,Asian,1
user5,Asian,1
user6,Asian,1
user7,Asian,0
user8,Asian,0
user9,Asian,1
jiajia,Asian,0
ljj,Asian,1
jiajialiu,Asian,0
user1,Halal,0
user2,Halal,0
user3,Halal,0
user4,Halal,0
user5,Halal,0
user6,Halal,0
user7,Halal,0
user8,Halal,1
user9,Halal,1
jiajia,Halal,0
ljj,Halal,0
jiajialiu,Halal,1
user1,Indian,0
user2,Indian,1
user3,Indian,1
user4,Indian,0
user5,Indian,1
user6,Indian,1
user7,Indian,1
user8,Indian,0
user9,Indian,1
jiajia,Indian,1
ljj,Indian,1
jiajialiu,Indian,0
user1,Mexican,0
user2,Mexican,0
user3,Mexican,1
user4,Mexican,1
user5,Mexican,0
user6,Mexican,1
user7,Mexican,0
user8,Mexican,1
user9,Mexican,1
jiajia,Mexican,0
ljj,Mexican,0
jiajialiu,Mexican,0
user1,bars,1
user2,bars,1
user3,bars,1
user4,bars,0
user5,bars,0
user6,bars,1
user7,bars,0
user8,bars,1
user9,bars,1
jiajia,bars,0
ljj,bars,0
jiajialiu,bars,0
user1,coffee,0
user2,coffee,1
user3,coffee,1
user4,coffee,1
user5,coffee,0
user6,coffee,0
user7,coffee,0
user8,coffee,0
user9,coffee,1
jiajia,coffee,0
ljj,coffee,0
jiajialiu,coffee,0
user1,museum,1
user2,museum,1
user3,museum,0
user4,museum,1
user5,museum,0
user6,museum,0
user7,museum,0
user8,museum,0
user9,museum,1
jiajia,museum,0
ljj,museum,0
jiajialiu,museum,1
user1,park,1
user2,park,1
user3,park,1
user4,park,1
user5,park,1
user6,park,1
user7,park,1
user8,park,1
user9,park,1
jiajia,park,0
ljj,park,0
jiajialiu,park,1
user1,shopping,1
user2,shopping,1
user3,shopping,0
user4,shopping,0
user5,shopping,0
user6,shopping,1
user7,shopping,1
user8,shopping,0
user9,shopping,1
jiajia,shopping,0
ljj,shopping,0
jiajialiu,shopping,1
